Date,ACB,AGR,CTC,CTG,EIB,HOM,MAS,MBB,SHB,STB
1/4/2015,16.5,5.5,7.5,17,12.7,8.4,84.3,13.5,8.4,18.7
1/6/2015,20.1,5.6,8.1,19.7,13.6,7.5,94.9,14.2,8.1,18.6
1/7/2015,20.7,6,7.2,18.8,12.9,6.9,102,14.9,8.1,18.7
1/9/2015,18.2,4.9,8,19.1,11.5,6.5,119,14.4,6.8,16.6
1/10/2015,19.4,4.1,7.3,19.6,12,6.5,134.1,15.2,6.7,16.6
1/12/2015,19.4,3.8,7.4,18.3,10.5,6.4,132,14.2,6.6,10.9
2/2/2015,16.8,6.2,6,18,13.4,9,84.8,14,8.8,18.4
2/3/2015,17,6.1,6,19.1,13.1,8.9,87,14,8.9,19.4
2/4/2015,16.6,5.8,7.5,17.5,12.6,8.4,85.9,13.6,8.5,18.7
2/6/2015,19.5,5.5,8.1,19.1,13.2,7.4,95,13.9,8,18.1
2/7/2015,21.7,6.2,6.8,19.8,13.3,6.9,102.1,15.3,8.4,18.9
2/10/2015,19.5,4.1,7.1,19.5,11.9,6.4,132.4,15.1,6.7,16.4
2/11/2015,20.6,4,7.4,20.9,11.7,6.7,143.8,14.4,6.7,13.2
2/12/2015,19.5,3.8,7.8,18.6,10.6,6.5,132,14.3,6.6,11.2
3/2/2015,15.9,6,5.9,16.8,12.5,8.9,82,13.3,8.3,17.2
3/3/2015,16.9,6.1,6,19.2,13.1,8.9,87.7,14.1,9.1,19.4
3/4/2015,16.8,5.7,6.8,17.4,12.9,8.4,85.9,13.5,8.4,18.8
3/6/2015,19.7,5.5,8.1,18.8,13.1,7.5,96,13.8,8,18.1
3/7/2015,22.3,5.9,7.2,20.1,13.5,6.9,106,15.4,8.6,18.9
3/8/2015,20.8,5.4,8,22.1,13.6,6.7,126.5,15.5,8.2,19
3/9/2015,18.1,4.8,8,19.2,11.8,6.5,119,14.2,6.9,16.5
3/11/2015,20.6,4,7.4,21,11.7,6.9,139,14.4,6.8,13.2
3/12/2015,19.4,3.8,7.8,18.6,10.6,6.4,132,14.3,6.5,11.5
4/2/2015,16.1,6,5.4,16.2,12.8,9,83.8,13.5,8.5,17.9
4/3/2015,16.9,6.5,6,19.2,13.2,8.9,88,14.1,9.1,19.5
4/5/2015,16.4,5.4,6.1,17,12.5,8,93,13.4,8.1,17.1
4/6/2015,20.5,5.6,8,18.7,13.5,7.4,98.1,13.8,8,18
4/8/2015,20.6,5.5,8,21.8,13.7,6.7,126.5,15.6,8.2,19
4/9/2015,17.9,4.8,8,19.3,11.9,6.3,111,14.3,6.8,16.2
4/11/2015,20.4,4,7.6,20.9,11.6,6.7,139,14.2,6.8,13.1
4/12/2015,19.4,3.7,7.8,18.4,10.5,6.4,132,14.2,6.5,11.4
5/1/2015,15.3,6.2,5.9,13.9,12.8,9,85,13,8.1,17.5
5/2/2015,16.1,6,5.4,17.1,13.1,9,83,13.6,8.6,17.9
5/3/2015,16.8,6.4,6.1,18.8,13.1,8.9,87.5,13.9,9,19.3
5/5/2015,16.6,5.5,6.1,17.7,12.5,8,93,13.5,8.1,17.5
5/6/2015,21.6,5.7,7.9,19.6,13.8,7.5,98.9,13.9,8.1,18.4
5/8/2015,20.9,5.6,8,22.1,13.8,6.7,118,15.9,8.3,19.5
5/10/2015,19.6,4.1,7.1,20,11.9,6.5,132.3,15.2,6.8,16.7
5/11/2015,20.5,3.9,7.5,20.9,11.5,6.8,139,14.2,6.7,12.9
6/1/2015,15.5,6.2,5.9,14,13,9.1,90.5,13.4,8.5,17.8
6/2/2015,16.4,6,5.8,17.7,13.4,8.9,81.9,13.8,8.7,18
6/3/2015,17,6.4,6.1,19.1,13.2,8.9,88,14,8.9,19.6
6/4/2015,16.8,5.6,6.2,17.2,12.7,8.4,85.9,13.5,8.4,18.6
6/5/2015,16.6,5.3,6.1,17.6,12.2,8,93,13.4,8,17.1
6/7/2015,23.4,5.9,7.2,20.3,14,7,103,15.4,8.7,19
6/8/2015,20.5,5.7,8,21.6,13.7,6.7,129,16,7.8,19.1
6/10/2015,20.2,4.3,7.1,20.3,11.9,6.5,125,15.5,6.9,16.9
6/11/2015,20.6,4,7.5,20.8,11.6,6.7,141,14.2,6.7,12.9
7/1/2015,15.7,6.3,6.3,14.4,13.2,9.3,90.5,13.5,8.6,17.9
7/4/2015,16.7,5.8,6.2,17.3,12.7,8.4,86,13.6,8.5,18.5
7/5/2015,16.6,5.3,6.3,17.9,12.6,8,93,13.4,8.1,17.1
7/7/2015,23.6,5.9,7.7,20.8,14,7,112,15.5,8.7,19.5
7/8/2015,20.5,5.5,8,21.5,13.7,6.8,116.2,16,7.9,19.1
7/9/2015,18.1,4.7,8,19.4,11.9,6.3,114,14.4,6.7,16.1
7/10/2015,19.9,4.2,7.1,20,11.7,6.4,129,15.4,6.8,17.5
7/12/2015,19.4,3.8,8,18.2,10.6,6.4,132,14.1,6.4,11
8/1/2015,15.8,6.3,6.3,14.1,13.1,9.2,90.7,13.6,8.6,18.1
