Date,ACB,AGR,CTC,CTG,EIB,HOM,MAS,MBB,SHB,STB
1/2/2018,41,6,3.4,27.25,15.5,4,87,30.7,12.4,15.7
1/3/2018,46,5.7,3.4,32.7,15.3,4.2,83.1,33.9,12.7,15.75
1/6/2018,40.5,3.26,4.2,27.45,14.45,3.6,49.8,29.25,9.2,11.75
1/8/2018,35.5,3.8,4.5,23.2,14,4.2,37,23.1,8,11.3
1/10/2018,33.7,4,3.6,27.05,14.5,3.8,55,23.1,9,13.85
1/11/2018,29.3,3.3,4.5,22.85,13.7,3.4,48,21.5,7.6,12.2
2/1/2018,38.8,6.16,3.4,24.95,12.65,4.1,89,26.55,9.8,13.4
2/2/2018,41.5,5.94,3.4,28,15.6,4.1,86,31,12.6,16.25
2/3/2018,46.5,5.62,3.6,32.7,15.05,4.2,83,34.2,12.7,15.7
2/4/2018,49.2,5.21,3.9,36.2,13.9,4,77,35.8,13.1,15.8
2/5/2018,42,4.29,3.9,27.25,14.85,3.9,64.8,29.3,10.9,13.3
2/7/2018,33.3,3.4,4.2,23.1,14.3,3.8,43,24.85,7.8,11.1
2/8/2018,35.5,3.74,4.1,22.95,14,3.8,37.1,22.95,7.9,11.05
2/10/2018,33.3,3.95,3.6,27.1,14.5,3.9,55,22.9,8.9,13.9
2/11/2018,30.4,3.37,4.1,23.5,13.7,3.4,50,21.8,7.7,12.4
3/1/2018,38.7,5.98,3.4,24.8,12.9,4.1,87.5,26.3,9.8,13.35
3/4/2018,49,5.19,3.9,36.3,14.5,4,77,36.7,13.4,15.7
3/5/2018,43.5,3.99,3.9,29,15,3.9,58.4,30.25,11,13.7
3/7/2018,31,3.17,4.6,21.5,14.1,3.9,43,23.45,7.3,10.35
3/8/2018,35.5,3.78,4.1,22.85,14.05,4,38.5,23.1,8,11.05
3/10/2018,33.5,3.9,3.6,27.5,14.9,3.9,54,23.1,9,13.85
3/12/2018,31.3,3.4,4.1,24.15,13.85,3.4,45.5,22.15,7.7,12.8
4/1/2018,38.8,5.99,3.4,25.7,12.1,4.1,88.9,26.35,9.8,13.6
4/4/2018,49.1,5.18,3.9,35.9,14.7,4,76.3,36.5,13.1,15.6
4/5/2018,43.6,04.04,3.9,28.5,15,4.1,58,30.7,10.9,13.45
4/6/2018,42,3.48,4.2,27.95,14.9,3.9,54.7,30.45,9.6,12.55
4/7/2018,32,3.28,4.6,21.9,14.2,3.9,42,23.9,7.4,10.3
4/9/2018,38,3.7,3.9,25.9,14,4,40.5,23.1,8.3,11.25
4/10/2018,34,3.85,3.6,27.7,14.85,3.9,54,24,9.1,13.85
4/12/2018,31.1,3.4,4.1,23.9,14.15,3.5,46.1,22,7.6,12.8
5/1/2018,38.8,5.9,3.4,25.1,12.9,4.1,89,26.15,9.6,13.6
5/2/2018,40,5.85,3.4,26.05,14.55,3.9,85,29,11.9,15.15
5/3/2018,44,5.6,3.6,30.5,14.55,4.2,90,32.5,12.6,14.95
5/4/2018,49.8,5.11,3.9,35.6,14.7,4,76,36.7,13.2,15.7
5/6/2018,41.7,3.65,4.2,28.4,15.45,3.6,53,30.45,9.6,12.9
5/7/2018,29.9,3.17,4.2,20.5,14.2,3.9,41.5,22.55,7.1,9.72
5/9/2018,37.6,3.63,3.9,26.05,13.95,4,40.5,22.75,8.3,11.1
