Date,ACB,AGR,CTC,CTG,EIB,HOM,MAS,MBB,SHB,STB
1/2/2021,26.65,9.18,3.8,32,17.5,3.6,33,22,13.5,16.1
1/3/2021,33.25,11.85,2.9,38.1,18.45,3.9,37.9,28.35,16.2,19.1
1/4/2021,33.85,12.5,3.4,41.05,20.3,5.4,39,29.2,27,21.6
1/6/2021,42.1,13.5,4.7,52.6,32.5,5,38,38.2,31,32.4
1/7/2021,35.95,14.75,4.6,52.4,30.7,5,44,43.45,28.4,31
1/9/2021,32,16.75,5.5,32.05,25.05,6.5,39.9,27.9,26.9,27.2
1/10/2021,31.5,16.05,7.2,29.75,22.85,8.9,46.4,27.45,26.1,24.7
1/11/2021,32.7,18.5,8,32.2,23.3,10.1,41,28.4,28.5,26.6
1/12/2021,33.5,27.7,7.8,34,27.35,10.3,40,29.5,23.55,29.9
2/2/2021,27.35,9,3.8,33.9,17.5,3.6,33.6,23.35,14.7,17.15
2/3/2021,33,11.75,2.9,38,18.8,3.9,37.9,28.1,16.1,19.15
2/4/2021,34.65,12.3,3.7,41.3,20.4,5.4,38.8,29.6,27,22.6
2/6/2021,44.6,13.55,4.8,52,31.15,5.5,36.5,38.5,31.1,32.2
2/7/2021,36.1,15.75,4.3,52.7,31.35,5,48.4,43.45,29,31.5
2/8/2021,35.55,13.3,3.9,33.75,25.8,4.1,36.8,28.8,27.3,29.3
2/11/2021,33.15,19.05,8.2,32.4,24.9,11.1,44,28.4,28.6,26.65
2/12/2021,33.2,27.1,8.5,33.8,27.8,10.4,41.9,29.1,23.55,29.3
3/2/2021,28.1,9.63,3.8,34.9,17.9,3.7,34.2,24.25,15.5,18
3/3/2021,33.25,11.75,2.9,38.6,18.75,3.9,38.5,28,16.1,19
3/6/2021,45.9,14.45,4.9,53.6,32,5.5,38,41.15,32.4,32.75
3/8/2021,35.8,14,3.8,34.1,27,4.1,36.8,29.3,27.5,29.8
3/11/2021,33.85,18.2,7.6,33,25.95,10.3,44,29.15,28.65,27.9
3/12/2021,32.55,25.25,8.1,33,27,10,41.9,28.3,23,28
4/1/2021,28.65,8.88,3.7,35.5,19.5,3.6,36.5,23.95,17.2,17.55
4/2/2021,28.2,10.3,3.8,34.7,17.8,3.7,37.4,24.05,15.4,17.6
4/3/2021,32.4,12.2,2.9,38.3,18.6,3.9,38.5,27.15,15.8,18.35
4/5/2021,34.45,10.5,5.7,43,26.4,5,32.5,31.25,26.3,24.1
4/6/2021,45.3,15,4.8,54,33.4,5.4,41.8,41.55,32.5,32.15
4/8/2021,35.5,14.25,3.9,34,27.2,4.2,36.8,29.7,27.4,30.65
4/10/2021,31,15.85,7.9,28.7,22.1,8.9,46.4,27.1,28.2,24.3
4/11/2021,33.5,19.3,7.6,32.6,25.55,10.4,44,28.9,30.5,27.45
5/1/2021,29.35,9.5,3.7,35.4,19.5,3.5,36.8,25.15,17.7,17.7
5/2/2021,28.5,11,3.5,35.8,17.9,3.7,35.4,24.75,16.1,18.3
5/3/2021,32.45,12.2,2.7,38,18.5,4,39,27.35,15.8,18.7
5/4/2021,34.75,12.4,3.7,42,21.8,5.2,37.7,30.4,24.3,23.15
5/5/2021,35.3,11.2,6.2,43.35,26.2,5.3,35.7,31.7,26.4,24.7
5/7/2021,37.95,16.2,4.3,52.3,31.7,4.9,53.2,43.1,30,32.6
5/8/2021,36,14.4,4.1,34.2,27.55,4.3,36.8,30,28.8,31.05
